Mono RX,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Esthetic-cut  1.67 Trans Drivewear ,67.06,68.06,71.06,73.06,73.06,73.06,x,x,77.06,,,,,,,,,,
Esthetic-cut  1.50 Solis ,19.73,20.73,23.73,25.73,25.73,25.73,x,24.73,29.73,,,,,,,,,,
Esthetic-cut  1.56 Solis ,18.53,19.53,22.53,24.53,24.53,24.53,x,23.53,28.53,,,,,,,,,,
Esthetic-cut  1.60 Solis ,29.66,30.66,33.66,35.66,35.66,35.66,x,34.66,39.66,,,,,,,,,,
Esthetic-cut  1.67 Solis ,37.90,38.90,41.90,43.90,43.90,43.90,x,42.90,47.90,,,,,,,,,,
Esthetic-cut  1.50 NeoChromes ,24.10,25.10,28.10,30.10,30.10,30.10,x,x,34.10,,,,,,,,,,
Esthetic-cut  1.60 NeoChromes ,39.17,40.17,43.17,45.17,45.17,45.17,x,x,49.17,,,,,,,,,,
Esthetic-cut  1.67 NeoChromes ,43.69,44.69,47.69,49.69,49.69,49.69,x,x,53.69,,,,,,,,,,
Esthetic-cut  1.50 TransXtract ,31.50,32.50,35.50,37.50,37.50,37.50,x,x,41.50,,,,,,,,,,
Esthetic-cut  1.60 TransXtract ,50.09,51.09,54.09,56.09,56.09,56.09,x,x,60.09,,,,,,,,,,
Esthetic-cut  1.67 TransXtract ,66.94,67.94,70.94,72.94,72.94,72.94,x,x,76.94,,,,,,,,,,
Esthetic-cut  1.50 TransXtract Polarized Grey ,41.59,42.59,45.59,47.59,47.59,47.59,x,x,51.59,,,,,,,,,,
Esthetic-cut  1.60 TransXtract Polarized Grey ,57.97,58.97,61.97,63.97,63.97,63.97,x,x,67.97,,,,,,,,,,
Esthetic-cut  1.67 TransXtract Polarized Grey ,77.49,78.49,81.49,83.49,83.49,83.49,x,x,87.49,,,,,,,,,,
Esthetic-cut  1.50 NuPolar ,21.58,22.58,25.58,27.58,27.58,27.58,x,x,31.58,,,,,,,,,,
Esthetic-cut  1.60 NuPolar ,40.98,41.98,44.98,46.98,46.98,46.98,x,x,50.98,,,,,,,,,,
Esthetic-cut  1.67 NuPolar ,63.62,64.62,67.62,69.62,69.62,69.62,x,x,73.62,,,,,,,,,,
Esthetic-cut  1.74 NuPolar ,70.43,71.43,74.43,76.43,76.43,76.43,x,x,80.43,,,,,,,,,,
Esthetic-cut  1.50 NuPolar Gradient ,21.58,22.58,25.58,27.58,27.58,27.58,x,x,31.58,,,,,,,,,,
Esthetic-cut  1.50 NuPolar Infinite Grey ,34.48,35.48,38.48,40.48,40.48,40.48,x,x,44.48,,,,,,,,,,
Esthetic-cut  1.50 NuPolar Tinted Universe,x,x,x,x,x,35.58,x,x,x,,,,,,,,,,
Esthetic-cut  1.50 NuPolar Tinted Universe gradient,x,x,x,x,x,36.58,x,x,x,,,,,,,,,,
Esthetic-cut  1.50 Polaro ,17.83,18.83,21.83,23.83,23.83,x,x,x,27.83,,,,,,,,,,
Esthetic-cut  1.60 Polaro ,30.18,31.18,34.18,36.18,36.18,x,x,x,40.18,,,,,,,,,,
Esthetic-cut  1.50 NuPolar MIRROR ,29.66,x,x,x,x,x,x,x,x,,,,,,,,,,
