sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S72138590;Ladies' Sunglasses Gant GA00011 5628F;https://www.bigbuy.eu/7734664/ladies-sunglasses-gant-ga00011-5628f_1287997.jpg;-;12;1;0;5;12;1;-;47.21;0.00%;-;57.57;0.00%;Sunglasses
S72138381;Ladies' Sunglasses Comma 77244 5316;https://www.bigbuy.eu/7734793/ladies-sunglasses-comma-77244-5316_1288042.jpg;-;3;1;0;5;3;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138378;Ladies' Sunglasses Comma 77242 5715;https://www.bigbuy.eu/7734589/ladies-sunglasses-comma-77242-5715_1287973.jpg;-;27;1;0;5;27;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138375;Ladies' Sunglasses Comma 77241 5535;https://www.bigbuy.eu/7734487/ladies-sunglasses-comma-77241-5535_1287939.jpg;-;19;1;0;5;19;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138374;Ladies' Sunglasses Comma 77241 5516;https://www.bigbuy.eu/7734463/ladies-sunglasses-comma-77241-5516_1287929.jpg;-;15;1;0;5;15;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138373;Ladies' Sunglasses Comma 77241 5501;https://www.bigbuy.eu/7734570/ladies-sunglasses-comma-77241-5501_1287967.jpg;-;2;1;0;5;2;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138372;Ladies' Sunglasses Comma 77240 5299;https://www.bigbuy.eu/7734362/ladies-sunglasses-comma-77240-5299_1287895.jpg;-;50;1;0;5;50;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138371;Ladies' Sunglasses Comma 77240 5208;https://www.bigbuy.eu/7734438/ladies-sunglasses-comma-77240-5208_1287921.jpg;-;21;1;0;5;21;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138369;Ladies' Sunglasses Comma 77237 5248;https://www.bigbuy.eu/7734415/ladies-sunglasses-comma-77237-5248_1287913.jpg;-;37;1;0;5;37;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138367;Ladies' Sunglasses Comma 77236 5186;https://www.bigbuy.eu/7734460/ladies-sunglasses-comma-77236-5186_1287928.jpg;-;46;1;0;5;46;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138366;Ladies' Sunglasses Comma 77236 5169;https://www.bigbuy.eu/7734436/ladies-sunglasses-comma-77236-5169_1287920.jpg;-;41;1;0;5;41;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138365;Ladies' Sunglasses Comma 77235 4668;https://www.bigbuy.eu/7734364/ladies-sunglasses-comma-77235-4668_1287896.jpg;-;6;1;0;5;6;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138364;Ladies' Sunglasses Comma 77234 5496;https://www.bigbuy.eu/7734344/ladies-sunglasses-comma-77234-5496_1287889.jpg;-;35;1;0;5;35;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138361;Ladies' Sunglasses Comma 77232 5560;https://www.bigbuy.eu/7734320/ladies-sunglasses-comma-77232-5560_1287881.jpg;-;3;1;0;5;3;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138359;Ladies' Sunglasses Comma 77231 5390;https://www.bigbuy.eu/7734423/ladies-sunglasses-comma-77231-5390_1287916.jpg;-;49;1;0;5;49;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138358;Ladies' Sunglasses Comma 77231 5306;https://www.bigbuy.eu/7734382/ladies-sunglasses-comma-77231-5306_1287902.jpg;-;13;1;0;5;13;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138357;Ladies' Sunglasses Comma 77230 5456;https://www.bigbuy.eu/7734446/ladies-sunglasses-comma-77230-5456_1287922.jpg;-;50;1;0;5;50;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138356;Ladies' Sunglasses Comma 77230 5410;https://www.bigbuy.eu/7734397/ladies-sunglasses-comma-77230-5410_1287907.jpg;-;19;1;0;5;19;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138352;Ladies' Sunglasses Comma 77226 5368;https://www.bigbuy.eu/7734369/ladies-sunglasses-comma-77226-5368_1287897.jpg;-;50;1;0;5;50;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138351;Ladies' Sunglasses Comma 77226 5350;https://www.bigbuy.eu/7734645/ladies-sunglasses-comma-77226-5350_1287992.jpg;-;16;1;0;5;16;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138350;Ladies' Sunglasses Comma 77225 5269;https://www.bigbuy.eu/7734352/ladies-sunglasses-comma-77225-5269_1287892.jpg;-;5;1;0;5;5;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138349;Ladies' Sunglasses Comma 77225 5242;https://www.bigbuy.eu/7734326/ladies-sunglasses-comma-77225-5242_1287884.jpg;-;3;1;0;5;3;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138348;Ladies' Sunglasses Comma 77225 5201;https://www.bigbuy.eu/7734301/ladies-sunglasses-comma-77225-5201_1287875.jpg;-;21;1;0;5;21;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138346;Ladies' Sunglasses Comma 77224 5354;https://www.bigbuy.eu/7734298/ladies-sunglasses-comma-77224-5354_1287874.jpg;-;17;1;0;5;17;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138345;Ladies' Sunglasses Comma 77224 5336;https://www.bigbuy.eu/7734633/ladies-sunglasses-comma-77224-5336_1287987.jpg;-;23;1;0;5;23;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138344;Ladies' Sunglasses Comma 77223 5567;https://www.bigbuy.eu/7734596/ladies-sunglasses-comma-77223-5567_1287977.jpg;-;45;1;0;5;45;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138340;Ladies' Sunglasses Comma 77220 5167;https://www.bigbuy.eu/7734541/ladies-sunglasses-comma-77220-5167_1287957.jpg;-;43;1;0;5;43;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138339;Ladies' Sunglasses Comma 77219 5484;https://www.bigbuy.eu/7734305/ladies-sunglasses-comma-77219-5484_1287876.jpg;-;27;1;0;5;27;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138338;Ladies' Sunglasses Comma 77219 5458;https://www.bigbuy.eu/7734290/ladies-sunglasses-comma-77219-5458_1287871.jpg;-;49;1;0;5;49;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138337;Ladies' Sunglasses Comma 77219 5430;https://www.bigbuy.eu/7734314/ladies-sunglasses-comma-77219-5430_1287879.jpg;-;3;1;0;5;3;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138336;Ladies' Sunglasses Comma 77218 5406;https://www.bigbuy.eu/7734323/ladies-sunglasses-comma-77218-5406_1287882.jpg;-;2;1;0;5;2;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138333;Ladies' Sunglasses Comma 77213 5399;https://www.bigbuy.eu/7734456/ladies-sunglasses-comma-77213-5399_1287927.jpg;-;18;1;0;5;18;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138330;Ladies' Sunglasses Comma 77210 5450;https://www.bigbuy.eu/7734401/ladies-sunglasses-comma-77210-5450_1287908.jpg;-;37;1;0;5;37;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138329;Ladies' Sunglasses Comma 77209PU 5380;https://www.bigbuy.eu/7734550/ladies-sunglasses-comma-77209pu-5380_1287960.jpg;-;12;1;0;5;12;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138328;Ladies' Sunglasses Comma 77209PU 5379;https://www.bigbuy.eu/7734269/ladies-sunglasses-comma-77209pu-5379_1287864.jpg;-;35;1;0;5;35;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138327;Ladies' Sunglasses Comma 77209PU 5307;https://www.bigbuy.eu/7734501/ladies-sunglasses-comma-77209pu-5307_1287941.jpg;-;16;1;0;5;16;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
S72138326;Ladies' Sunglasses Comma 77209 5376;https://www.bigbuy.eu/7734293/ladies-sunglasses-comma-77209-5376_1287872.jpg;-;4;1;0;5;4;1;-;36.75;0.00%;-;45.94;0.00%;Sunglasses
